LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE
J. Holiday - K. Porziņģis - J. Brown - J. Tatum - D. White,BOS,16,245,114.9,113.7,1.2,66.8,2.49,20.1,22.9,71.7,47.6,0.1,54.9,57.9,103.12,51.7
A. Gordon - N. Jokić - J. Murray - M. Porter Jr. - C. Braun,DEN,14,226,120.2,116.2,4.0,69.0,2.26,21.3,29.3,71.5,51.3,0.1,59.0,62.4,102.40,53.7
C. McCollum - D. Murray - H. Jones - T. Murphy III - Y. Missi,NOP,13,221,112.6,120.1,-7.5,61.7,1.64,18.4,30.6,69.3,49.0,0.2,55.1,58.9,102.16,45.1
A. Horford - J. Holiday - J. Brown - J. Tatum - D. White,BOS,19,216,120.3,100.9,19.4,69.4,2.63,21.1,20.2,73.7,48.9,0.1,61.2,63.5,102.19,58.6
F. VanVleet - D. Brooks - J. Green - A. Sengun - A. Thompson,HOU,19,213,111.9,117.8,-5.8,58.8,1.89,17.3,27.2,63.7,44.1,0.1,52.0,55.8,98.78,45.4
K. Kuzma - J. Poole - B. Coulibaly - A. Sarr - B. Carrington,WAS,17,208,86.7,120.3,-33.5,63.6,1.43,15.7,18.5,73.0,42.6,0.1,44.4,46.4,108.15,31.5
L. James - A. Davis - R. Hachimura - A. Reaves - M. Christie,LAL,17,199,107.4,106.3,1.1,67.2,1.75,19.6,25.3,77.6,52.1,0.2,55.0,58.3,103.43,53.2
D. Mitchell - J. Allen - D. Garland - D. Wade - E. Mobley,CLE,21,197,120.1,112.4,7.7,63.0,2.43,20.7,23.2,70.5,47.9,0.1,59.2,61.7,101.08,53.6
J. Butler - B. Adebayo - D. Robinson - H. Highsmith - T. Herro,MIA,17,189,118.4,114.0,4.4,73.7,2.57,22.7,27.9,81.5,54.3,0.1,58.2,60.4,96.41,51.6
L. Markkanen - J. Collins - C. Sexton - W. Kessler - K. George,UTA,13,189,123.1,116.5,6.6,62.4,1.50,19.1,41.6,79.7,61.4,0.2,61.2,64.2,100.32,52.9
J. Grant - A. Simons - D. Ayton - D. Avdija - T. Camara,POR,15,188,98.7,115.8,-17.1,58.0,1.38,15.4,29.1,68.8,48.1,0.2,46.9,50.2,99.87,40.1
D. DeRozan - D. Sabonis - D. Fox - K. Huerter - K. Murray,SAC,16,184,115.0,105.5,9.5,61.0,1.88,19.8,24.4,72.1,50.8,0.1,57.9,61.0,100.71,55.9
T. Harris - T. Hardaway Jr. - C. Cunningham - J. Duren - A. Thompson,DET,17,178,111.5,112.0,-0.6,57.1,1.45,17.9,33.7,76.8,55.0,0.2,55.3,57.6,103.17,50.7
C. Paul - H. Barnes - J. Champagnie - V. Wembanyama - S. Castle,SAS,20,176,125.8,112.3,13.6,71.3,2.60,21.6,24.9,74.4,50.4,0.1,60.2,63.9,98.69,56.2
J. Harden - N. Powell - I. Zubac - D. Jones Jr. - T. Mann,LAC,13,169,110.6,120.5,-9.9,72.1,1.85,19.7,33.1,79.9,54.2,0.2,51.1,55.8,96.93,45.7
J. Poeltl - R. Barrett - O. Agbaji - D. Mitchell - G. Dick,TOR,14,167,116.7,113.1,3.6,60.6,2.54,18.8,30.6,69.5,49.7,0.1,53.2,56.6,102.46,50.5
R. Gobert - J. Randle - D. DiVincenzo - A. Edwards - J. McDaniels,MIN,24,165,109.9,114.2,-4.3,61.4,1.54,17.5,36.0,68.0,52.8,0.2,54.5,56.7,99.82,49.8
C. Paul - H. Barnes - D. Vassell - V. Wembanyama - S. Castle,SAS,16,157,123.2,114.0,9.2,69.3,3.12,22.3,25.8,73.5,50.5,0.1,60.1,62.1,102.05,55.0
N. Jokić - J. Murray - M. Porter Jr. - C. Braun - P. Watson,DEN,12,156,128.6,115.5,13.1,73.4,3.14,24.4,33.3,71.6,54.2,0.1,62.6,64.6,97.54,56.2
B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - G. Trent Jr.,MIL,21,153,117.0,117.3,-0.3,60.7,2.34,19.0,13.8,73.2,45.0,0.1,60.2,63.6,104.31,49.0
J. Harden - K. Dunn - I. Zubac - D. Jones Jr. - A. Coffey,LAC,15,152,108.7,103.9,4.8,63.6,1.49,18.9,30.5,78.2,54.9,0.2,54.5,57.6,96.91,53.0
K. Caldwell-Pope - G. Bitadze - F. Wagner - J. Suggs - T. da Silva,ORL,13,152,108.2,110.0,-1.7,66.9,1.93,19.5,29.9,77.0,52.2,0.1,51.3,54.9,95.62,50.6
D. Mitchell - J. Allen - D. Garland - I. Okoro - E. Mobley,CLE,15,148,125.6,114.2,11.4,61.9,2.17,20.5,25.5,72.7,50.2,0.1,63.1,65.2,102.56,54.4
T. Harris - T. Hardaway Jr. - M. Beasley - C. Cunningham - J. Duren,DET,32,140,108.7,116.6,-7.9,55.4,1.40,16.4,23.5,76.5,50.4,0.2,56.4,60.8,105.78,46.7
C. Paul - H. Barnes - D. Vassell - J. Sochan - V. Wembanyama,SAS,12,136,116.3,100.0,16.3,77.1,2.60,22.6,22.6,71.9,49.5,0.1,57.5,60.6,99.99,59.4
J. Randle - D. DiVincenzo - N. Alexander-Walker - N. Reid - A. Edwards,MIN,34,135,125.6,107.3,18.3,60.0,2.89,19.7,26.0,66.2,47.3,0.1,63.3,65.8,102.17,57.3
A. Simons - D. Ayton - D. Avdija - S. Sharpe - T. Camara,POR,10,134,113.3,111.4,2.0,55.0,1.57,17.7,24.4,69.7,49.2,0.2,59.4,61.9,99.05,51.0
D. DeRozan - D. Sabonis - M. Monk - K. Murray - K. Ellis,SAC,22,126,123.8,101.2,22.7,63.6,3.21,20.7,28.2,74.2,52.0,0.1,57.0,60.8,98.31,61.4
J. Grant - A. Simons - D. Ayton - S. Sharpe - T. Camara,POR,10,126,93.7,123.6,-29.9,58.8,1.16,15.9,24.6,77.7,48.4,0.2,47.4,50.6,102.00,35.8
J. Poeltl - R. Barrett - D. Mitchell - S. Barnes - G. Dick,TOR,13,126,105.1,113.2,-8.0,69.3,1.80,20.5,27.9,75.2,51.4,0.2,55.1,57.1,102.92,48.8
O. Anunoby - J. Hart - M. Bridges - J. Brunson - J. Sims,NYK,18,120,105.6,110.0,-4.4,63.2,1.82,17.9,33.9,75.9,53.4,0.1,50.5,52.9,92.33,48.5
K. Durant - B. Beal - J. Nurkić - T. Jones - D. Booker,PHX,12,119,103.9,120.9,-17.1,73.6,2.19,23.1,10.4,70.9,42.2,0.1,57.6,59.1,103.83,44.0
K. Irving - K. Thompson - P. Washington - L. Dončić - D. Lively II,DAL,14,119,127.9,104.4,23.5,58.2,2.45,19.5,36.1,69.4,53.1,0.1,60.4,62.2,100.88,59.6
T. Rozier - B. Adebayo - H. Highsmith - T. Herro - J. Jaquez Jr.,MIA,14,118,96.0,116.0,-20.0,67.4,1.93,17.4,20.7,66.7,42.6,0.1,46.0,50.3,99.12,43.6
J. Harden - K. Leonard - N. Powell - I. Zubac - D. Jones Jr.,LAC,9,116,133.3,94.8,38.5,61.7,2.93,22.6,30.8,80.5,57.7,0.1,63.1,65.7,103.37,68.5
R. Gobert - J. Randle - N. Alexander-Walker - A. Edwards - J. McDaniels,MIN,29,115,110.2,96.7,13.5,44.4,1.25,12.9,30.3,70.2,49.8,0.1,52.7,56.4,99.42,51.9
R. Westbrook - A. Gordon - N. Jokić - M. Porter Jr. - C. Braun,DEN,18,115,129.4,104.8,24.6,74.0,2.22,23.6,39.2,69.0,55.7,0.2,65.5,67.1,105.93,61.1
B. Lopez - D. Lillard - B. Portis - G. Trent Jr. - A. Green,MIL,13,111,122.1,101.7,20.4,54.8,2.04,18.4,21.9,75.4,50.7,0.1,60.3,63.4,100.55,55.4
J. Jackson Jr. - J. Morant - D. Bane - Z. Edey - J. Wells,MEM,12,111,134.1,96.8,37.3,54.2,2.17,18.5,35.2,75.6,56.7,0.1,60.4,65.2,108.30,68.6
D. Schröder - D. Finney-Smith - N. Claxton - C. Johnson - C. Thomas,BKN,9,106,116.2,104.2,12.0,61.1,1.83,18.4,28.4,69.3,48.8,0.1,56.6,60.3,97.34,55.2
M. Turner - P. Siakam - T. Haliburton - B. Mathurin - Q. Jackson,IND,9,106,113.8,119.2,-5.4,68.1,1.59,19.9,31.6,73.1,53.0,0.2,57.1,60.5,98.74,49.0
J. Jackson Jr. - J. Morant - B. Clarke - D. Bane - J. Wells,MEM,16,105,120.1,111.6,8.5,63.9,1.59,19.4,32.3,70.3,53.6,0.2,59.6,64.1,105.19,54.1
L. James - A. Davis - D. Russell - R. Hachimura - A. Reaves,LAL,10,105,109.6,104.0,5.6,82.4,2.34,22.2,29.5,73.9,52.4,0.1,51.8,55.7,104.69,55.7
M. Turner - P. Siakam - T. Haliburton - B. Mathurin - B. Sheppard,IND,10,105,111.8,115.2,-3.4,69.3,2.77,20.3,24.3,69.3,46.7,0.1,53.0,55.4,96.26,48.6
N. Vučević - Z. LaVine - C. White - P. Williams - A. Dosunmu,CHI,15,105,107.5,109.0,-1.5,76.7,2.23,20.8,20.0,74.2,49.2,0.1,54.0,58.7,110.68,51.2
C. Capela - T. Young - D. Hunter - J. Johnson - D. Daniels,ATL,16,104,111.7,100.0,11.7,68.8,2.56,18.7,33.1,74.8,53.6,0.1,51.5,56.4,108.90,61.8
N. Vučević - Z. LaVine - C. White - A. Dosunmu - J. Giddey,CHI,13,104,116.7,119.8,-3.2,72.8,2.50,22.9,18.8,76.9,49.5,0.1,63.2,64.3,107.23,48.5
R. Westbrook - N. Jokić - M. Porter Jr. - C. Braun - P. Watson,DEN,24,104,118.3,112.1,6.1,80.2,2.36,25.4,25.6,68.1,51.3,0.2,65.3,67.6,106.17,56.5
C. Paul - H. Barnes - J. Champagnie - J. Sochan - V. Wembanyama,SAS,13,100,102.9,108.3,-5.4,70.9,1.65,18.9,30.2,72.8,52.3,0.2,51.1,54.7,99.83,51.0
O. Anunoby - J. Hart - M. Bridges - J. Brunson - P. Achiuwa,NYK,19,100,107.1,112.2,-5.1,61.7,1.47,17.3,31.2,71.9,51.1,0.2,54.7,58.9,102.26,48.7
C. McCollum - D. Murray - J. Green - T. Murphy III - Y. Missi,NOP,11,97,111.0,112.1,-1.1,53.9,2.00,16.2,33.6,64.0,47.5,0.1,50.5,52.6,104.75,46.2
D. Schröder - B. Simmons - D. Finney-Smith - C. Johnson - C. Thomas,BKN,9,95,109.3,112.7,-3.4,71.3,1.63,20.7,16.3,66.3,41.7,0.2,57.3,61.8,103.40,47.6
J. Butler - T. Rozier - B. Adebayo - T. Herro - N. Jović,MIA,9,95,104.7,124.5,-19.7,65.7,1.92,17.5,26.7,68.5,46.3,0.1,49.1,53.0,96.93,41.5
T. Young - D. Hunter - O. Okongwu - J. Johnson - D. Daniels,ATL,13,95,120.5,116.9,3.7,57.0,1.23,16.1,39.6,63.9,52.8,0.2,57.6,64.3,110.86,53.3
M. Conley - R. Gobert - D. DiVincenzo - N. Alexander-Walker - N. Reid,MIN,21,94,117.2,89.2,28.0,78.2,2.35,21.9,29.2,71.6,52.5,0.1,59.1,61.7,99.03,67.5
J. Valančiūnas - K. Kuzma - C. Kispert - B. Carrington - K. George,WAS,14,91,106.7,131.1,-24.3,67.1,1.40,18.5,27.9,69.7,49.1,0.2,57.1,60.4,100.74,38.4
K. Irving - K. Thompson - P. Washington - L. Dončić - D. Gafford,DAL,13,89,110.6,119.4,-8.8,53.7,1.76,16.3,27.8,72.0,49.5,0.1,54.0,57.3,105.97,45.6
R. Gobert - D. DiVincenzo - N. Alexander-Walker - N. Reid - A. Edwards,MIN,31,89,98.0,87.8,10.2,65.3,1.34,17.7,16.9,80.9,50.8,0.2,58.9,61.0,107.57,55.7
J. Poole - J. Champagnie - B. Coulibaly - A. Sarr - B. Carrington,WAS,9,88,109.8,115.1,-5.3,63.8,1.59,19.0,23.5,70.0,47.0,0.2,57.6,58.3,105.01,43.7
K. Durant - M. Plumlee - T. Jones - D. Booker - R. Dunn,PHX,13,87,115.3,87.5,27.8,74.1,2.86,22.4,27.5,67.6,49.5,0.1,53.8,56.5,100.81,68.1
J. Harden - N. Powell - I. Zubac - D. Jones Jr. - A. Coffey,LAC,19,85,112.2,106.5,5.7,62.7,1.12,18.1,38.8,76.2,59.6,0.2,63.8,66.7,104.85,54.7
K. Caldwell-Pope - W. Carter Jr. - G. Bitadze - J. Suggs - T. da Silva,ORL,6,83,103.0,105.6,-2.5,62.9,1.42,18.4,36.6,73.1,53.0,0.2,51.0,53.0,94.42,49.3
T. Harris - T. Hardaway Jr. - I. Stewart - C. Cunningham - J. Ivey,DET,12,83,116.7,115.1,1.6,69.2,3.60,21.9,22.6,70.4,48.4,0.1,56.6,59.4,99.84,54.2
C. LeVert - D. Mitchell - J. Allen - D. Garland - E. Mobley,CLE,21,82,121.9,101.1,20.8,60.3,1.38,18.4,40.0,65.9,53.5,0.2,61.8,65.7,102.76,58.5
K. Caldwell-Pope - W. Carter Jr. - F. Wagner - J. Suggs - P. Banchero,ORL,6,82,100.6,109.6,-9.0,69.4,1.87,18.0,21.3,81.9,49.7,0.1,48.0,52.7,103.84,45.7
R. Westbrook - A. Gordon - N. Jokić - J. Murray - M. Porter Jr.,DEN,13,82,130.6,112.5,18.1,63.4,3.11,21.8,42.7,78.3,61.4,0.1,61.6,64.1,104.36,60.3
K. Irving - K. Thompson - S. Dinwiddie - P. Washington - D. Gafford,DAL,15,81,124.0,103.5,20.5,61.3,1.88,19.3,38.0,68.3,55.0,0.1,59.6,62.3,103.47,61.3
C. LeVert - G. Niang - D. Mitchell - S. Merrill - E. Mobley,CLE,16,80,119.5,81.8,37.8,66.7,2.19,20.0,20.3,70.8,48.0,0.1,62.1,63.9,102.06,68.4
D. DeRozan - D. Sabonis - D. Fox - K. Murray - K. Ellis,SAC,16,80,130.2,109.8,20.4,59.5,2.94,20.1,37.7,73.0,55.0,0.1,60.2,62.3,97.01,56.2
J. Valančiūnas - J. Poole - C. Kispert - B. Coulibaly - K. George,WAS,20,79,115.9,119.2,-3.3,58.3,2.33,17.4,29.1,72.8,51.3,0.1,54.0,59.6,105.31,50.4
N. Vučević - Z. LaVine - L. Ball - P. Williams - J. Giddey,CHI,13,79,115.5,102.4,13.1,64.1,2.38,21.6,18.9,65.3,45.0,0.1,61.3,62.1,103.33,57.6
J. Poole - B. Coulibaly - A. Sarr - B. Carrington - K. George,WAS,11,77,98.2,106.4,-8.2,55.7,2.00,15.2,23.4,64.0,42.8,0.1,46.1,50.2,105.23,43.1
M. Bridges - L. Ball - J. Green - M. Williams - B. Miller,CHA,6,77,117.8,111.7,6.1,75.3,4.58,22.8,25.0,80.5,50.3,0.1,55.0,55.8,101.80,52.4
M. Turner - P. Siakam - A. Nembhard - T. Haliburton - A. Nesmith,IND,6,77,108.3,111.4,-3.1,67.2,2.15,20.5,15.3,64.0,41.8,0.1,54.9,57.5,97.77,51.1
M. Beasley - I. Stewart - J. Ivey - S. Fontecchio - R. Holland II,DET,20,76,107.3,115.2,-8.0,68.8,1.52,18.2,40.7,79.7,59.4,0.2,53.5,56.9,104.36,47.4
S. Curry - D. Green - A. Wiggins - L. Waters III - T. Jackson-Davis,GSW,8,76,124.1,117.4,6.7,74.7,2.43,23.4,27.6,76.8,53.2,0.1,62.8,64.4,102.30,52.8
K. Caldwell-Pope - W. Carter Jr. - G. Bitadze - F. Wagner - J. Suggs,ORL,5,75,129.3,97.3,31.9,65.7,1.70,21.8,34.0,80.3,59.7,0.2,65.6,69.1,94.72,68.8
B. Lopez - D. Lillard - G. Antetokounmpo - T. Prince - A. Green,MIL,17,74,115.6,89.4,26.3,50.0,1.70,16.3,21.1,79.3,54.0,0.1,59.2,61.2,103.67,64.3
F. VanVleet - J. Green - A. Sengun - J. Smith Jr. - A. Thompson,HOU,13,74,121.4,125.8,-4.4,45.3,2.13,15.0,47.0,76.4,60.6,0.1,54.5,56.0,98.67,48.6
K. Durant - J. Nurkić - T. Jones - D. Booker - R. O'Neale,PHX,11,74,122.3,91.8,30.5,65.3,2.61,22.1,14.5,81.0,52.7,0.1,65.9,68.0,102.03,63.3
S. Curry - D. Green - D. Schröder - A. Wiggins - T. Jackson-Davis,GSW,8,74,97.4,105.7,-8.2,75.4,1.92,20.6,25.6,79.2,51.6,0.2,50.4,51.8,102.76,47.3
B. Bogdanović - T. Young - D. Hunter - O. Okongwu - D. Daniels,ATL,17,73,113.8,117.3,-3.5,66.7,2.10,18.2,43.7,77.3,58.2,0.1,51.0,55.4,106.01,45.5
J. Poeltl - R. Barrett - I. Quickley - S. Barnes - G. Dick,TOR,5,73,101.3,113.9,-12.7,68.2,2.50,20.1,24.4,80.0,50.0,0.1,52.5,52.5,103.84,44.2
J. Valančiūnas - M. Brogdon - C. Kispert - C. Carrington - K. George,WAS,9,73,107.8,116.6,-8.8,73.8,1.80,20.5,30.4,77.8,54.6,0.2,54.7,58.5,100.29,47.3
A. Horford - J. Tatum - L. Kornet - P. Pritchard - S. Hauser,BOS,15,72,102.0,97.8,4.2,64.2,1.89,16.2,34.5,65.4,49.4,0.1,48.2,50.7,95.36,49.3
C. LeVert - G. Niang - D. Mitchell - M. Strus - E. Mobley,CLE,10,72,98.2,116.7,-18.5,63.6,1.59,16.3,20.5,70.9,45.1,0.1,50.4,54.3,106.58,41.1
M. Turner - A. Nembhard - O. Toppin - T. Haliburton - B. Mathurin,IND,19,72,107.5,102.5,5.0,65.0,2.05,18.1,24.3,66.7,47.2,0.1,54.3,58.4,105.80,54.1
P. George - K. Oubre Jr. - G. Yabusele - C. Martin - T. Maxey,PHI,7,72,128.7,103.9,24.7,46.5,2.36,15.7,31.8,71.2,50.0,0.1,57.5,59.3,100.50,56.0
M. Beasley - I. Stewart - C. Cunningham - S. Fontecchio - R. Holland II,DET,21,71,97.4,98.7,-1.3,64.2,1.79,16.0,26.4,77.9,50.0,0.1,46.5,49.3,103.31,45.2
E. Gordon - K. Oubre Jr. - G. Yabusele - T. Maxey - J. Edwards,PHI,6,70,109.4,122.0,-12.6,59.4,1.90,18.9,20.3,64.0,37.9,0.1,55.6,57.1,101.92,40.0
G. Niang - D. Mitchell - T. Jerome - S. Merrill - E. Mobley,CLE,13,70,93.6,113.2,-19.6,61.1,3.00,15.6,24.7,76.1,46.3,0.1,43.8,47.0,105.14,39.0
D. DeRozan - D. Sabonis - D. Fox - M. Monk - K. Ellis,SAC,12,69,130.4,113.1,17.3,54.2,2.44,19.5,21.3,66.7,45.9,0.1,62.3,65.8,104.09,56.3
K. Caldwell-Pope - G. Bitadze - C. Anthony - C. Houstan - T. da Silva,ORL,6,69,99.2,100.0,-0.8,61.5,2.46,17.7,28.9,64.4,46.3,0.1,45.7,47.5,87.54,51.8
L. James - A. Davis - R. Hachimura - C. Reddish - A. Reaves,LAL,8,68,107.6,120.8,-13.2,76.7,2.30,22.4,22.2,64.5,45.3,0.1,57.8,59.8,101.78,48.4
B. Lopez - D. Lillard - B. Portis - T. Prince - G. Trent Jr.,MIL,15,67,110.6,114.1,-3.5,48.3,1.22,15.1,23.8,68.5,47.8,0.2,54.6,58.9,101.25,48.8
J. Jackson Jr. - B. Clarke - D. Bane - S. Pippen Jr. - J. Wells,MEM,10,67,105.4,115.2,-9.7,67.2,1.78,19.8,26.4,68.0,47.6,0.2,54.3,55.8,104.55,46.5
O. Anunoby - M. Bridges - J. Brunson - M. McBride - J. Sims,NYK,16,67,118.2,94.5,23.7,53.4,1.63,16.0,29.4,69.2,50.7,0.1,57.6,61.3,102.57,59.2
J. Randle - D. DiVincenzo - N. Alexander-Walker - N. Reid - J. Minott,MIN,14,66,119.2,102.7,16.5,78.7,2.00,23.0,27.1,71.3,52.5,0.2,64.7,67.6,106.10,60.6
J. Randle - D. DiVincenzo - N. Reid - A. Edwards - J. McDaniels,MIN,21,65,103.7,103.5,0.2,54.9,2.15,15.8,21.5,69.6,46.3,0.1,50.9,55.1,102.42,49.5
J. Randle - N. Alexander-Walker - N. Reid - A. Edwards - J. McDaniels,MIN,25,65,102.2,110.2,-8.0,59.6,1.40,15.0,33.8,71.4,52.5,0.1,47.8,53.6,101.18,43.8
K. Towns - C. Payne - J. Hart - M. Bridges - M. McBride,NYK,12,65,127.8,98.6,29.1,67.7,2.44,21.4,30.0,71.6,52.0,0.1,63.4,67.3,106.64,60.7
J. Holiday - J. Brown - J. Tatum - D. White - L. Kornet,BOS,9,64,102.8,92.1,10.8,61.8,1.42,17.0,32.9,68.1,49.7,0.2,50.0,52.4,104.25,56.4
S. Gilgeous-Alexander - L. Dort - C. Holmgren - J. Williams - C. Wallace,OKC,6,64,108.4,98.6,9.8,42.9,1.80,15.1,13.8,69.1,44.5,0.1,55.5,57.6,107.63,53.9
J. Poeltl - R. Barrett - O. Agbaji - S. Barnes - J. Walter,TOR,4,63,122.8,100.7,22.1,72.7,2.18,23.5,33.9,76.6,58.1,0.2,62.9,64.4,103.98,61.4
E. Gordon - P. George - K. Oubre Jr. - G. Yabusele - T. Maxey,PHI,6,62,116.5,119.0,-2.5,54.0,1.08,16.5,20.4,69.4,47.7,0.2,62.1,67.3,97.59,47.2
K. Johnson - T. Jones - J. Champagnie - V. Wembanyama - S. Castle,SAS,13,62,109.4,95.7,13.6,79.2,2.80,21.8,21.5,61.6,44.4,0.1,53.5,57.9,108.78,62.9
R. Gobert - D. DiVincenzo - N. Reid - A. Edwards - J. McDaniels,MIN,24,62,106.0,102.9,3.0,54.0,0.96,14.5,37.3,67.2,51.9,0.2,54.4,57.7,104.00,48.2
T. Harris - M. Beasley - C. Cunningham - J. Ivey - J. Duren,DET,15,62,111.0,95.7,15.4,63.0,1.48,18.1,30.5,78.6,56.6,0.2,58.3,61.3,106.37,60.0
B. Bogdanović - D. Hunter - O. Okongwu - J. Johnson - K. Bufkin,ATL,7,61,100.7,105.7,-5.0,67.9,1.57,18.4,31.8,66.7,49.2,0.2,50.4,54.9,110.20,51.6
B. Simmons - N. Claxton - C. Johnson - K. Johnson - N. Clowney,BKN,5,61,107.2,124.6,-17.4,64.6,1.41,17.6,30.8,64.7,45.7,0.2,52.3,56.2,97.09,42.5
M. Beasley - I. Stewart - M. Sasser - S. Fontecchio - R. Holland II,DET,17,61,103.8,122.6,-18.8,69.4,1.42,18.5,31.0,63.5,47.9,0.2,57.5,59.9,105.01,41.1
T. Harris - T. Hardaway Jr. - M. Beasley - I. Stewart - C. Cunningham,DET,23,61,100.0,91.7,8.3,52.9,1.08,15.1,16.1,79.1,50.4,0.2,57.6,61.4,108.86,53.6
C. LeVert - G. Niang - J. Allen - D. Garland - S. Merrill,CLE,20,60,123.2,121.3,1.9,66.1,3.15,21.7,18.9,70.7,45.9,0.1,64.0,66.6,109.30,53.0
K. Towns - O. Anunoby - J. Hart - J. Brunson - M. McBride,NYK,17,60,129.8,100.8,29.0,66.1,3.25,22.4,22.0,78.2,51.4,0.1,62.1,66.2,96.07,65.9
M. Bridges - G. Williams - L. Ball - J. Green - B. Miller,CHA,6,60,127.6,133.6,-6.0,80.0,2.44,24.4,18.0,77.3,45.7,0.1,68.6,71.5,101.05,46.9
M. Bridges - L. Ball - J. Green - M. Williams - N. Smith Jr.,CHA,6,60,107.6,119.1,-11.5,62.0,1.82,16.9,30.4,75.8,51.9,0.1,52.2,55.2,105.49,44.7
O. Anunoby - M. Bridges - J. Brunson - P. Achiuwa - M. McBride,NYK,15,59,115.7,104.8,10.9,51.0,1.92,14.7,29.7,67.2,48.0,0.1,52.3,58.0,101.78,56.1
D. Ayton - D. Avdija - S. Henderson - S. Sharpe - T. Camara,POR,10,58,116.1,117.4,-1.2,56.4,1.48,18.2,29.4,71.2,50.5,0.2,60.1,63.6,102.03,51.7
I. Hartenstein - S. Gilgeous-Alexander - L. Dort - I. Joe - J. Williams,OKC,12,58,117.1,96.2,20.9,48.3,2.33,16.3,23.8,77.1,51.9,0.1,54.2,57.7,106.45,60.3
K. Love - T. Rozier - B. Adebayo - H. Highsmith - T. Herro,MIA,5,58,97.5,100.8,-3.3,57.8,1.44,15.9,26.2,76.6,51.2,0.1,46.8,49.8,100.41,48.6
S. Gilgeous-Alexander - L. Dort - I. Joe - J. Williams - C. Wallace,OKC,13,58,118.9,85.4,33.5,48.1,2.36,15.7,22.6,73.6,50.0,0.1,55.3,59.4,106.68,67.3
F. VanVleet - D. Brooks - A. Sengun - J. Smith Jr. - A. Thompson,HOU,13,57,116.9,86.4,30.5,76.5,3.25,22.4,20.8,71.4,48.3,0.1,60.4,63.5,105.24,70.0
J. Harden - N. Powell - K. Dunn - I. Zubac - A. Coffey,LAC,14,57,135.8,94.3,41.6,59.3,1.94,20.8,28.3,68.9,51.4,0.1,68.9,71.5,101.08,66.1
K. Middleton - G. Antetokounmpo - B. Portis - G. Trent Jr. - A. Green,MIL,9,57,128.5,102.5,26.0,63.2,3.60,20.7,31.5,76.2,55.6,0.1,61.0,65.4,101.88,63.1
S. Curry - V. Micić - M. Bridges - J. Green - M. Williams,CHA,8,57,107.4,108.4,-1.0,69.4,2.13,20.2,20.6,71.9,46.5,0.1,51.8,54.9,101.82,49.4
